Oligo	brain vs whole fly - T-Test_Change Direction	BrainMean	BrainSEM	BrainPresent	Brain:fly	head vs whole fly  - T-Test_Change Direction	HeadMean	HeadSEM	HeadPresent	Head:fly	Crop vs Whole flies t-test - T-Test_Change Direction	cropMean	cropSEM	cropPresent	ratio	midgut vs whole fly - T-Test_Change Direction	MidgutMean	MidgutSEM	MidgutPresent	Midgut:fly	Hind vs Whole  - T-Test_Change Direction	HindgutMean	HindgutSEM	Hindgutpresent	Hindgut:fly	Tubule t test vs whole fly	tubuleMean	tubuleSEM	tubulePresent	tubule:fly	ovary vs whole flies - T-Test_Change Direction	OvaryMean	OvarySEM	OvaryPresent	Ovary:fly	testis vs whole flies - T-Test_Change Direction	TestisMean	TestisSEM	TestisCall	Testis:fly	acc vs W - T-Test_Change Direction	AccMean	AccSEM	AccPresent	Acc:fly	LT vs whole fly - T-Test_Change Direction	l_tubMean	l_tubSEM	l_tubPresent	l_tub:fly	FB vs whole fly - T-Test_Change Direction	l_fatMean	l_fatSEM	l_fatPresent	l_fat:fly	tag vs whole flies - T-Test_Change Direction	tagMean	tagSEM	tagPresent	tag:fly	car vs Whole fly - T-Test_Change Direction	carMean	carSEM	carPresent	car:fly	SG vs whole fly - T-Test_Change Direction	Sgmean	Sgsem	Present	ratio	L_sg t	l_sg mean	l-sg sem	l_sg present	l_sg ratio	l_mid t	l_mid mean	l_mid sem	l_mid present	l_mid ratio	larvae hindgut vs whole fly  - T-Test_Change Direction	l_hind mean	l_hind sem	l_hind present	l_hind ratio	SptV vs W - T-Test_Change Direction	SptV mean	SptV sem	SptV present	SptV ratio	SptM vs W t-test - T-Test_Change Direction	SptM mean	SptM sem	SptM present	SptM ratio	Feeded larvae central nerve system vs whole flies  - T-Test_Change Direction	LcnsMean	LcnsSEM	call	ratio	Adult fat body vs whole flies  - T-Test_Change Direction	AFBmean	AFBSEM	AFBcall	ratio	Feeded larvae carcuss vs whole flies  - T-Test_Change Direction	LcarMean	LcarSEM	Lcar call	ratio	eye vs whole flies - T-Test_Change Direction	eye mean	eye sem	eye present	eye ratio	heart vs wholefly t-test - T-Test_Change Direction	heart mean	heart sem	heart present	heart ratio	lftrachea vs wholefly - T-Test_Change Direction	trachea mean	trachea sem	trachea present	trachea ratio	Drosophila S2 cells vs whole flies - T-Test_Change Direction	S2 Mean	S2 sem	S2 present	S2 ratio	FlyMean	FlySEM	FlyPresent		
1616608_a_at	Down	1016.2	23.2	4	0.7	Up	1874.6	85.3	4	1.3	Down	994.2	5	4	0.7	None	1170.2	40.5	4	0.8	Down	1053.1	35	4	0.7	Up	3202.6	216.4	4	2.2	Down	848.9	26.1	4	0.6	Down	124.3	5.9	4	0.1	Down	1036.2	51.7	4	0.7	None	1505.9	61.7	4	1	Down	623.1	59.3	4	0.4	Down	876.2	14.6	4	0.6	Up	2438.2	218.3	4	1.7	Up	3642.5	263.9	4	2.5	Down	861.8	52	4	0.59	Down	521.9	52.8	4	0.36	Down	643.6	60.3	4	0.44	Up	3039	174.9	4	2.08	Up	3333.4	167.8	4	2.29	Down	170.6	9.5	4	0.12	Up	3597.5	430.4	4	2.47	None	1132	147.5387802	4	0.776406036	Down	282.775	47.42876017	4	0.193947188	Down	834.5	113.9766716	4	0.572359396	Down	147	26.00025641	4	0.100823045	Down	408.825	7.471097086	4	0.280401235	1458	127.8	4		
1622892_s_at	Up	114.6	3.3	4	1.2	Down	64.3	1.8	4	0.7	None	87.1	2.6	4	0.9	Down	53.3	4.6	4	0.6	Down	72.6	5.4	4	0.8	Down	52.5	2.2	4	0.6	Up	145.9	5.7	4	1.6	Up	586.6	17.1	4	6.3	None	110.5	5	4	1.2	Down	67.2	2.3	4	0.7	None	71	16	4	0.8	None	89.8	2.5	4	1	None	84.9	5.4	4	0.9	None	89.8	8.5	4	0.97	Down	63.8	4.4	4	0.69	Down	37.4	2.4	4	0.4	Down	60.3	2.4	4	0.65	Down	55.4	3.2	4	0.6	Down	60	4.9	4	0.65	Up	128.275	2.4	4	1.38	Down	67.5	6.7	4	0.73	Down	69.325	3.460581599	4	0.745630546	None	76.825	2.475673309	4	0.826297392	Down	51.525	2.809322279	4	0.554181232	None	99.725	2.670049937	4	1.072600161	Up	127.8	2.46069096	4	1.374563055	93	6	4		
1622893_at	Down	89	5.9	4	0.1	Up	4115.7	202.4	4	2.9	Down	380.7	40.1	4	0.3	Down	6.6	1.2	0	0	Down	314.4	19.5	4	0.2	Down	87.5	34.2	3	0.1	Down	3	1.6	1	0	Down	8.5	2	2	0	Down	12.1	2.5	0	0	Down	1.8	0.9	0	0	None	1097.2	956.5	4	0.8	Down	114.5	19.6	4	0.1	Up	4432	315.2	4	3.1	Down	19.1	4.1	1	0.01	Down	23.2	16.6	1	0.02	Down	26	4.8	0	0.02	Down	26.4	2.9	4	0.02	Up	4808.8	134.5	4	3.39	Up	3689.3	332.5	4	2.6	Down	4.45	0.4	1	0	Up	4560	466.8	4	3.22	Down	29.1	10.21379786	4	0.020522585	None	2281.675	586.5692349	4	1.609136429	Up	2750.025	372.6516053	4	1.939437216	Down	27.725	43.96281573	2	0.019552876	Down	1.875	0.833041616	0	0.001322332	1418	83.8	4		
1622894_at	Down	6.1	1.4	0	0.2	None	35.6	1.8	4	1.3	None	17.7	2.8	0	0.7	None	8.5	0.9	0	0.3	None	20.5	4.1	0	0.8	Down	4.7	0.5	0	0.2	None	7	1	0	0.3	None	7.5	2.5	0	0.3	None	8	2.4	0	0.3	Down	5.8	1.1	0	0.2	None	31.2	4.1	0	1.2	Down	6.7	3.5	0	0.2	Up	113.3	9.3	4	4.2	None	16.6	5.7	0	0.62	Down	5.2	1.6	0	0.19	Down	7.3	3.3	0	0.27	None	7.4	0.7	0	0.28	Up	192.1	14.8	4	7.17	Up	80.1	16.4	4	2.99	Down	4.95	3.1	0	0.18	Up	187.3	19.7	4	6.99	None	7.425	2.360923195	0	0.277052239	None	18.65	2.670049937	0	0.695895522	Up	87.125	5.295969379	4	3.250932836	Down	1.2	1.6673332	0	0.044776119	Down	4.775	1.56544722	0	0.178171642	26.8	6.5	2		
1622895_at	Down	78.5	3	4	0.7	Down	61.5	2.5	4	0.5	Down	69	5.2	4	0.6	Down	64.2	4.5	4	0.6	Down	50.2	4.7	4	0.4	Down	73.1	10.6	3	0.6	Up	227.8	3.4	4	2	Down	40.3	1.4	4	0.3	Up	141.6	8.1	4	1.2	Down	59.1	3.9	4	0.5	Down	60	2.4	4	0.5	Down	83.6	3.8	4	0.7	Down	58	2.8	4	0.5	Down	79.1	7.4	4	0.68	Up	131.5	1.8	4	1.13	Down	49.9	4.4	4	0.43	Down	62.5	0.8	4	0.54	Down	77.7	1.8	4	0.67	None	102.3	6.6	4	0.88	Up	160.125	5	4	1.38	Down	92.5	11.2	4	0.79	None	87.975	11.12724696	4	0.755798969	Down	56.8	2.43276249	4	0.487972509	Down	55.625	4.137707699	4	0.477878007	None	113.9	12.1674429	4	0.978522337	Up	142.375	6.283891443	4	1.223152921	116.4	2.3	4		
1622896_at	Down	27.8	0.7	4	0.3	Up	221.6	4.6	4	2.7	Down	65.4	4	4	0.8	Up	142.9	6.7	4	1.7	Down	54.9	6.1	4	0.7	Down	25.9	1.6	4	0.3	None	90.4	4.5	4	1.1	Down	24.5	1.9	4	0.3	Down	25.5	3	2	0.3	Up	277	3.1	4	3.4	None	81.8	4.5	4	1	Down	31	3.2	4	0.4	Up	176.9	2.1	4	2.2	Down	23.8	2.2	2	0.29	Down	25	2.9	4	0.31	Up	243.7	48.4	4	2.98	Down	59.6	7.3	4	0.73	None	81.8	4.7	4	1	Up	102.6	4.5	4	1.25	Down	23.2	3.4	4	0.28	Up	276.8	41.4	4	3.38	Down	42.525	6.779426598	4	0.520024457	Up	593.675	81.1734601	4	7.25985937	Up	293.05	9.223565833	4	3.583613574	Up	102.825	11.68171648	4	1.257413635	Up	107.35	7.383822407	4	1.312748395	81.8	3.2	4		
1622897_at	None	8.4	0.5	0	1.1	None	7.2	2.2	0	1	None	9.9	0.9	0	1.3	None	7.8	3.1	0	1	None	9.2	2.2	0	1.2	None	6.8	1.7	0	0.9	None	5.7	1.7	0	0.7	None	6.7	2.1	0	0.9	None	7.5	3	0	1	None	9.1	0.9	0	1.2	Up	18.3	2.6	3	2.4	None	14	2.3	1	1.9	None	10.8	2.5	0	1.4	None	9.7	5.9	0	1.29	None	10.3	2.4	1	1.36	None	10.4	1.6	0	1.37	None	12	2.2	1	1.59	None	7.3	1.5	0	0.96	None	7.8	2.5	0	1.04	Up	19.625	4.4	4	2.6	Up	20.5	8.1	1	2.72	Up	18.475	1.311725962	0	2.447019868	Down	3.1	1.109804788	0	0.410596026	None	4.4	1.80600849	0	0.582781457	None	6.975	3.395462659	1	0.92384106	None	6.625	1.039531144	0	0.877483444	7.6	0.7	0		
1622898_a_at	None	212.9	5.4	4	0.9	Down	107.1	6.7	4	0.4	Down	85.7	4.9	4	0.4	Down	106.1	4.3	4	0.4	Down	125.4	2	4	0.5	Down	102.1	6.6	4	0.4	Up	339.7	4.9	4	1.4	None	244.1	5.6	4	1	Down	98.4	2.7	4	0.4	Down	27.5	0.9	4	0.1	Down	43.4	8.1	4	0.2	Down	175.7	3.6	4	0.7	Down	92.6	3.3	4	0.4	Down	105.4	8.8	4	0.44	Down	146.2	3.3	4	0.61	Down	83	6.9	4	0.35	Down	137.5	15.2	4	0.57	Down	39	1.1	4	0.16	Down	51.6	2.2	4	0.22	None	212.85	13.4	4	0.89	Down	75	7.5	4	0.31	Down	121.325	19.19116007	4	0.506311946	Down	96.925	6.203678344	4	0.404486176	Down	95.275	4.127625427	4	0.397600417	None	200.025	30.0329125	4	0.834741784	None	215.675	6.060579593	4	0.900052165	239.6	17.7	4		
1622899_at	None	6.9	0.6	3	0.8	None	7	0.7	2	0.8	None	9.5	1.5	1	1.2	None	6.4	3	1	0.8	None	8.6	0.8	1	1	Up	12.1	1.2	3	1.5	None	10.8	1.4	4	1.3	None	6.6	1.7	3	0.8	None	13.1	3.1	2	1.6	None	12.1	2.1	3	1.5	None	9.9	3.1	2	1.2	None	12.6	2	2	1.5	None	7	2	0	0.9	None	8.8	2.9	1	1.08	None	13.6	1.8	2	1.66	None	8.7	2.6	1	1.06	None	10.7	1.8	3	1.3	None	5.4	1.6	2	0.66	None	9	1.2	2	1.09	None	11.05	0.9	4	1.35	None	7.5	2.6	3	0.92	None	8.65	1.546231979	1	1.054878049	None	11.95	1.283549765	4	1.457317073	None	6.25	0.68495742	1	0.762195122	None	14.225	4.345399867	3	1.734756098	None	7.95	0.920597632	3	0.969512195	8.2	1.4	2		
1622900_at	None	3.7	1.2	1	0.9	None	5.3	0.9	1	1.2	None	3.1	1.1	0	0.7	None	2.3	0.9	0	0.5	None	4.6	1.3	1	1.1	None	4.4	0.8	0	1	None	2.6	0.6	1	0.6	None	5.9	0.8	2	1.4	Up	30.3	2.6	4	7.1	None	6	1.4	1	1.4	None	4.2	1.4	0	1	None	5.2	1.7	1	1.2	None	4.8	1.9	0	1.1	None	10.3	3.1	1	2.4	None	5.1	0.7	0	1.2	None	2.7	1.6	0	0.63	None	2.8	1.4	1	0.66	None	3	1	0	0.7	None	3.2	0.3	0	0.74	None	4.15	1.9	3	0.97	None	3	2.6	0	0.7	None	1.675	0.394493346	0	0.391812865	None	4.1	1.675808263	0	0.959064327	None	2.6	1.225425096	0	0.608187135	None	2.05	1.926136028	0	0.479532164	None	3.6	0.85926325	1	0.842105263	4.3	1.4	0		
